model,rmse,mae,r2,cv_r2,cv_std
Random Forest,0.00704993191911116,0.00035698717950606964,0.9999999990226777,1.0,0.0
Gradient Boosting,0.1473008209405568,0.09485240971792343,0.9999995733435769,0.9999993608372977,2.821972633378683e-07
XGBoost,0.940341539259216,0.5096526770811813,0.9999826124177966,0.9999459172796229,8.705925213529949e-05
