node_id,topology,hop_count,payload_bytes,algorithm,algo_type,operation,security_level,cycles,time_us,energy_uj,energy_mj
7,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
6,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
7,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
6,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
3,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
7,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
9,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
6,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
3,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
7,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
9,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
6,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
2,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
3,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
7,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
9,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
6,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
2,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
3,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
7,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
9,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
6,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
2,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
3,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
7,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
9,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
6,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
2,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
3,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
7,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
9,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
6,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
2,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
8,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
3,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
7,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
9,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
6,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
2,star,1,100,KYBER768,KEM,DECAP_VERIFY,3,3100000,96875,6393,6.393
8,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
3,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
7,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
4,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
9,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
5,star,1,100,KYBER512,KEM,KEYGEN,1,1700000,53125,3506,3.506
6,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
2,star,1,100,KYBER1024,KEM,KEYGEN,5,3700000,115625,7631,7.631
8,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
3,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
7,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
4,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
9,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
5,star,1,100,KYBER512,KEM,ENCAP_SIGN,1,1900000,59375,3918,3.918
6,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
2,star,1,100,KYBER1024,KEM,ENCAP_SIGN,5,4100000,128125,8456,8.456
8,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
3,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
7,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
4,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
9,star,1,100,DILITHIUM2,SIG,KEYGEN,2,2200000,68750,4537,4.537
5,star,1,100,KYBER512,KEM,DECAP_VERIFY,1,2000000,62500,4125,4.125
6,star,1,100,DILITHIUM2,SIG,DECAP_VERIFY,2,2300000,71875,4743,4.743
2,star,1,100,KYBER1024,KEM,DECAP_VERIFY,5,4400000,137500,9075,9.075
8,star,1,100,KYBER768,KEM,ENCAP_SIGN,3,2900000,90625,5981,5.981
3,star,1,100,DILITHIUM2,SIG,ENCAP_SIGN,2,4900000,153125,10106,10.106
7,star,1,100,DILITHIUM3,SIG,KEYGEN,3,3500000,109375,7218,7.218
4,star,1,100,KYBER768,KEM,KEYGEN,3,2600000,81250,5362,5.362
