feature,importance,run_id
lattice_dim,0.40883242889842814,20260801_162934
uses_fpu,0.33587972272437794,20260801_162934
alg_enc,0.170745619387104,20260801_162934
ct_or_sig_bytes,0.026514201094037567,20260801_162934
sk_bytes,0.02245968968391314,20260801_162934
pk_bytes,0.01731092260258299,20260801_162934
security_level,0.014165756417567931,20260801_162934
op_enc,0.0040916591919882865,20260801_162934
