1,Kyber512,KEM,0.1177,0.0257,0.0196,800,1632,768
1,Kyber768,KEM,0.0259,0.0275,0.0232,1184,2400,1088
1,Kyber1024,KEM,0.0273,0.0311,0.0246,1568,3168,1568
1,ML-KEM-512,KEM,0.0137,0.0136,0.0146,800,1632,768
1,ML-KEM-768,KEM,0.0159,0.0163,0.0197,1184,2400,1088
1,ML-KEM-1024,KEM,0.0234,0.0234,0.0263,1568,3168,1568
1,Falcon-512,SIG,7.1423,0.2796,0.0571,897,1281,752
1,Falcon-1024,SIG,20.4476,0.5777,0.1083,1793,2305,1462
1,ML-DSA-44,SIG,0.0345,0.0902,0.0305,1312,2560,2420
1,ML-DSA-65,SIG,0.0672,0.1762,0.0622,1952,4032,3309
2,Kyber512,KEM,0.0317,0.0140,0.0104,800,1632,768
2,Kyber768,KEM,0.0183,0.0208,0.0157,1184,2400,1088
2,Kyber1024,KEM,0.0292,0.0327,0.0267,1568,3168,1568
2,ML-KEM-512,KEM,0.0122,0.0129,0.0137,800,1632,768
2,ML-KEM-768,KEM,0.0181,0.0182,0.0200,1184,2400,1088
2,ML-KEM-1024,KEM,0.0320,0.0352,0.0336,1568,3168,1568
2,Falcon-512,SIG,7.2768,0.2710,0.0538,897,1281,752
2,Falcon-1024,SIG,21.2904,0.5455,0.1058,1793,2305,1462
2,ML-DSA-44,SIG,0.0333,0.0854,0.0312,1312,2560,2420
2,ML-DSA-65,SIG,0.0554,0.1291,0.0495,1952,4032,3309
3,Kyber512,KEM,0.0312,0.0143,0.0100,800,1632,768
3,Kyber768,KEM,0.0174,0.0198,0.0145,1184,2400,1088
3,Kyber1024,KEM,0.0221,0.0265,0.0213,1568,3168,1568
3,ML-KEM-512,KEM,0.0117,0.0131,0.0134,800,1632,768
3,ML-KEM-768,KEM,0.0163,0.0166,0.0188,1184,2400,1088
3,ML-KEM-1024,KEM,0.0235,0.0246,0.0295,1568,3168,1568
3,Falcon-512,SIG,8.0188,0.2959,0.0564,897,1281,752
3,Falcon-1024,SIG,22.1723,0.5985,0.1169,1793,2305,1462
3,ML-DSA-44,SIG,0.0325,0.0941,0.0351,1312,2560,2420
3,ML-DSA-65,SIG,0.0557,0.1584,0.0510,1952,4032,3309
4,Kyber512,KEM,0.0305,0.0138,0.0116,800,1632,768
4,Kyber768,KEM,0.0168,0.0192,0.0142,1184,2400,1088
4,Kyber1024,KEM,0.0249,0.0282,0.0235,1568,3168,1568
4,ML-KEM-512,KEM,0.0112,0.0114,0.0127,800,1632,768
4,ML-KEM-768,KEM,0.0161,0.0164,0.0186,1184,2400,1088
4,ML-KEM-1024,KEM,0.0240,0.0246,0.0289,1568,3168,1568
4,Falcon-512,SIG,7.1703,0.2785,0.0557,897,1281,752
4,Falcon-1024,SIG,22.4567,0.5763,0.1084,1793,2305,1462
4,ML-DSA-44,SIG,0.0325,0.0908,0.0299,1312,2560,2420
4,ML-DSA-65,SIG,0.0532,0.1192,0.0495,1952,4032,3309
5,Kyber512,KEM,0.0307,0.0131,0.0106,800,1632,768
5,Kyber768,KEM,0.0169,0.0195,0.0144,1184,2400,1088
5,Kyber1024,KEM,0.0242,0.0269,0.0211,1568,3168,1568
5,ML-KEM-512,KEM,0.0110,0.0116,0.0127,800,1632,768
5,ML-KEM-768,KEM,0.0162,0.0166,0.0193,1184,2400,1088
5,ML-KEM-1024,KEM,0.0233,0.0252,0.0278,1568,3168,1568
5,Falcon-512,SIG,7.4213,0.2761,0.0575,897,1281,752
5,Falcon-1024,SIG,22.1985,0.6187,0.1054,1793,2305,1462
5,ML-DSA-44,SIG,0.0328,0.0950,0.0299,1312,2560,2420
5,ML-DSA-65,SIG,0.0543,0.1446,0.0500,1952,4032,3309
6,Kyber512,KEM,0.0518,0.0239,0.0188,800,1632,768
6,Kyber768,KEM,0.0406,0.0289,0.0222,1184,2400,1088
6,Kyber1024,KEM,0.0235,0.0259,0.0204,1568,3168,1568
6,ML-KEM-512,KEM,0.0108,0.0117,0.0128,800,1632,768
6,ML-KEM-768,KEM,0.0171,0.0194,0.0200,1184,2400,1088
6,ML-KEM-1024,KEM,0.0222,0.0234,0.0268,1568,3168,1568
6,Falcon-512,SIG,7.5792,0.3000,0.0555,897,1281,752
6,Falcon-1024,SIG,21.9626,0.5648,0.1088,1793,2305,1462
6,ML-DSA-44,SIG,0.0340,0.0862,0.0306,1312,2560,2420
6,ML-DSA-65,SIG,0.0548,0.1424,0.0516,1952,4032,3309
7,Kyber512,KEM,0.0301,0.0130,0.0100,800,1632,768
7,Kyber768,KEM,0.0180,0.0195,0.0167,1184,2400,1088
7,Kyber1024,KEM,0.0232,0.0261,0.0214,1568,3168,1568
7,ML-KEM-512,KEM,0.0112,0.0115,0.0128,800,1632,768
7,ML-KEM-768,KEM,0.0184,0.0199,0.0207,1184,2400,1088
7,ML-KEM-1024,KEM,0.0336,0.0315,0.0367,1568,3168,1568
7,Falcon-512,SIG,7.3608,0.2832,0.0555,897,1281,752
7,Falcon-1024,SIG,22.1669,0.5783,0.1196,1793,2305,1462
7,ML-DSA-44,SIG,0.0324,0.0987,0.0307,1312,2560,2420
7,ML-DSA-65,SIG,0.0562,0.1458,0.0500,1952,4032,3309
8,Kyber512,KEM,0.0330,0.0133,0.0097,800,1632,768
8,Kyber768,KEM,0.0189,0.0201,0.0154,1184,2400,1088
8,Kyber1024,KEM,0.0249,0.0283,0.0220,1568,3168,1568
8,ML-KEM-512,KEM,0.0109,0.0121,0.0125,800,1632,768
8,ML-KEM-768,KEM,0.0161,0.0174,0.0187,1184,2400,1088
8,ML-KEM-1024,KEM,0.0233,0.0237,0.0277,1568,3168,1568
8,Falcon-512,SIG,7.2831,0.2851,0.0559,897,1281,752
8,Falcon-1024,SIG,23.3692,0.5967,0.1144,1793,2305,1462
8,ML-DSA-44,SIG,0.0331,0.0877,0.0306,1312,2560,2420
8,ML-DSA-65,SIG,0.0535,0.1477,0.0492,1952,4032,3309
9,Kyber512,KEM,0.0311,0.0148,0.0105,800,1632,768
9,Kyber768,KEM,0.0198,0.0205,0.0164,1184,2400,1088
9,Kyber1024,KEM,0.0229,0.0264,0.0202,1568,3168,1568
9,ML-KEM-512,KEM,0.0106,0.0116,0.0129,800,1632,768
9,ML-KEM-768,KEM,0.0171,0.0197,0.0208,1184,2400,1088
9,ML-KEM-1024,KEM,0.0225,0.0230,0.0263,1568,3168,1568
9,Falcon-512,SIG,7.6767,0.2831,0.0569,897,1281,752
